t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.010000,0.000000,-0.001912
0.010000,0.100000,0.089498
0.010000,0.200000,0.171008
0.010000,0.300000,0.235452
0.010000,0.400000,0.276770
0.010000,0.500000,0.291000
0.010000,0.600000,0.276769
0.010000,0.700000,0.235447
0.010000,0.800000,0.170989
0.010000,0.900000,0.089428
0.010000,1.000000,-0.002173
0.020000,0.000000,-0.002563
0.020000,0.100000,0.081267
0.020000,0.200000,0.156337
0.020000,0.300000,0.215530
0.020000,0.400000,0.253404
0.020000,0.500000,0.266435
0.020000,0.600000,0.253396
0.020000,0.700000,0.215504
0.020000,0.800000,0.156260
0.020000,0.900000,0.081063
0.020000,1.000000,-0.003024
0.030000,0.000000,-0.002939
0.030000,0.100000,0.074139
0.030000,0.200000,0.143123
0.030000,0.300000,0.197556
0.030000,0.400000,0.232361
0.030000,0.500000,0.244325
0.030000,0.600000,0.232338
0.030000,0.700000,0.197490
0.030000,0.800000,0.142967
0.030000,0.900000,0.073810
0.030000,1.000000,-0.003562
0.040000,0.000000,-0.003240
0.040000,0.100000,0.067819
0.040000,0.200000,0.131332
0.040000,0.300000,0.181412
0.040000,0.400000,0.213430
0.040000,0.500000,0.224429
0.040000,0.600000,0.213385
0.040000,0.700000,0.181296
0.040000,0.800000,0.131092
0.040000,0.900000,0.067372
0.040000,1.000000,-0.004011
0.050000,0.000000,-0.003504
0.050000,0.100000,0.062195
0.050000,0.200000,0.120793
0.050000,0.300000,0.166948
0.050000,0.400000,0.196435
0.050000,0.500000,0.206554
0.050000,0.600000,0.196364
0.050000,0.700000,0.166778
0.050000,0.800000,0.120470
0.050000,0.900000,0.061634
0.050000,1.000000,-0.004416
0.060000,0.000000,-0.003758
0.060000,0.100000,0.057178
0.060000,0.200000,0.111382
0.060000,0.300000,0.154005
0.060000,0.400000,0.181209
0.060000,0.500000,0.190530
0.060000,0.600000,0.181110
0.060000,0.700000,0.153779
0.060000,0.800000,0.110974
0.060000,0.900000,0.056505
0.060000,1.000000,-0.004807
0.070000,0.000000,-0.004015
0.070000,0.100000,0.052697
0.070000,0.200000,0.102980
0.070000,0.300000,0.142441
0.070000,0.400000,0.167592
0.070000,0.500000,0.176194
0.070000,0.600000,0.167466
0.070000,0.700000,0.142160
0.070000,0.800000,0.102490
0.070000,0.900000,0.051914
0.070000,1.000000,-0.005200
0.080000,0.000000,-0.004283
0.080000,0.100000,0.048693
0.080000,0.200000,0.095489
0.080000,0.300000,0.132125
0.080000,0.400000,0.155439
0.080000,0.500000,0.163395
0.080000,0.600000,0.155285
0.080000,0.700000,0.131789
0.080000,0.800000,0.094916
0.080000,0.900000,0.047801
0.080000,1.000000,-0.005604
0.090000,0.000000,-0.004566
0.090000,0.100000,0.045115
0.090000,0.200000,0.088818
0.090000,0.300000,0.122940
0.090000,0.400000,0.144613
0.090000,0.500000,0.151992
0.090000,0.600000,0.144431
0.090000,0.700000,0.122549
0.090000,0.800000,0.088163
0.090000,0.900000,0.044113
0.090000,1.000000,-0.006024
0.100000,0.000000,-0.004866
0.100000,0.100000,0.041918
0.100000,0.200000,0.082888
0.100000,0.300000,0.114777
0.100000,0.400000,0.134991
0.100000,0.500000,0.141854
0.100000,0.600000,0.134781
0.100000,0.700000,0.114331
0.100000,0.800000,0.082150
0.100000,0.900000,0.040806
0.100000,1.000000,-0.006465
0.110000,0.000000,-0.005184
0.110000,0.100000,0.039066
0.110000,0.200000,0.077626
0.110000,0.300000,0.107541
0.110000,0.400000,0.126459
0.110000,0.500000,0.132863
0.110000,0.600000,0.126222
0.110000,0.700000,0.107039
0.110000,0.800000,0.076804
0.110000,0.900000,0.037840
0.110000,1.000000,-0.006928
