t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.001000,0.000000,-0.001594
0.001000,0.100000,0.097364
0.001000,0.200000,0.185431
0.001000,0.300000,0.255229
0.001000,0.400000,0.300034
0.001000,0.500000,0.315472
0.001000,0.600000,0.300034
0.001000,0.700000,0.255229
0.001000,0.800000,0.185430
0.001000,0.900000,0.097349
0.001000,1.000000,-0.001768
0.002000,0.000000,-0.001689
0.002000,0.100000,0.096387
0.002000,0.200000,0.183773
0.002000,0.300000,0.252962
0.002000,0.400000,0.297366
0.002000,0.500000,0.312664
0.002000,0.600000,0.297366
0.002000,0.700000,0.252962
0.002000,0.800000,0.183770
0.002000,0.900000,0.096358
0.002000,1.000000,-0.001887
0.003000,0.000000,-0.001775
0.003000,0.100000,0.095430
0.003000,0.200000,0.182127
0.003000,0.300000,0.250718
0.003000,0.400000,0.294725
0.003000,0.500000,0.309886
0.003000,0.600000,0.294725
0.003000,0.700000,0.250717
0.003000,0.800000,0.182120
0.003000,0.900000,0.095387
0.003000,1.000000,-0.001995
0.004000,0.000000,-0.001852
0.004000,0.100000,0.094492
0.004000,0.200000,0.180493
0.004000,0.300000,0.248495
0.004000,0.400000,0.292112
0.004000,0.500000,0.307137
0.004000,0.600000,0.292112
0.004000,0.700000,0.248494
0.004000,0.800000,0.180483
0.004000,0.900000,0.094435
0.004000,1.000000,-0.002094
0.005000,0.000000,-0.001922
0.005000,0.100000,0.093571
0.005000,0.200000,0.178873
0.005000,0.300000,0.246294
0.005000,0.400000,0.289526
0.005000,0.500000,0.304417
0.005000,0.600000,0.289525
0.005000,0.700000,0.246292
0.005000,0.800000,0.178858
0.005000,0.900000,0.093500
0.005000,1.000000,-0.002185
0.006000,0.000000,-0.001986
0.006000,0.100000,0.092666
0.006000,0.200000,0.177267
0.006000,0.300000,0.244115
0.006000,0.400000,0.286966
0.006000,0.500000,0.301725
0.006000,0.600000,0.286966
0.006000,0.700000,0.244111
0.006000,0.800000,0.177248
0.006000,0.900000,0.092582
0.006000,1.000000,-0.002268
0.007000,0.000000,-0.002044
0.007000,0.100000,0.091776
0.007000,0.200000,0.175677
0.007000,0.300000,0.241956
0.007000,0.400000,0.284434
0.007000,0.500000,0.299061
0.007000,0.600000,0.284433
0.007000,0.700000,0.241951
0.007000,0.800000,0.175652
0.007000,0.900000,0.091679
0.007000,1.000000,-0.002346
0.008000,0.000000,-0.002098
0.008000,0.100000,0.090900
0.008000,0.200000,0.174103
0.008000,0.300000,0.239820
0.008000,0.400000,0.281927
0.008000,0.500000,0.296426
0.008000,0.600000,0.281925
0.008000,0.700000,0.239812
0.008000,0.800000,0.174072
0.008000,0.900000,0.090790
0.008000,1.000000,-0.002418
0.009000,0.000000,-0.002147
0.009000,0.100000,0.090038
0.009000,0.200000,0.172544
0.009000,0.300000,0.237704
0.009000,0.400000,0.279446
0.009000,0.500000,0.293817
0.009000,0.600000,0.279444
0.009000,0.700000,0.237695
0.009000,0.800000,0.172508
0.009000,0.900000,0.089915
0.009000,1.000000,-0.002485
0.010000,0.000000,-0.002193
0.010000,0.100000,0.089189
0.010000,0.200000,0.171002
0.010000,0.300000,0.235609
0.010000,0.400000,0.276990
0.010000,0.500000,0.291236
0.010000,0.600000,0.276988
0.010000,0.700000,0.235598
0.010000,0.800000,0.170959
0.010000,0.900000,0.089054
0.010000,1.000000,-0.002548
0.011000,0.000000,-0.002236
0.011000,0.100000,0.088353
0.011000,0.200000,0.169475
0.011000,0.300000,0.233536
0.011000,0.400000,0.274560
0.011000,0.500000,0.288681
0.011000,0.600000,0.274557
0.011000,0.700000,0.233522
0.011000,0.800000,0.169426
0.011000,0.900000,0.088205
0.011000,1.000000,-0.002607
