t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.100000,0.000000,0.019603
0.100000,0.100000,0.068834
0.100000,0.200000,0.114212
0.100000,0.300000,0.150701
0.100000,0.400000,0.174409
0.100000,0.500000,0.182885
0.100000,0.600000,0.175318
0.100000,0.700000,0.152610
0.100000,0.800000,0.117311
0.100000,0.900000,0.073433
0.100000,1.000000,0.026162
0.200000,0.000000,0.015707
0.200000,0.100000,0.051169
0.200000,0.200000,0.081964
0.200000,0.300000,0.105935
0.200000,0.400000,0.121329
0.200000,0.500000,0.127015
0.200000,0.600000,0.122614
0.200000,0.700000,0.108542
0.200000,0.800000,0.085964
0.200000,0.900000,0.056651
0.200000,1.000000,0.022760
0.300000,0.000000,0.000540
0.300000,0.100000,0.035771
0.300000,0.200000,0.064563
0.300000,0.300000,0.086014
0.300000,0.400000,0.099373
0.300000,0.500000,0.104137
0.300000,0.600000,0.100113
0.300000,0.700000,0.087439
0.300000,0.800000,0.066555
0.300000,0.900000,0.038130
0.300000,1.000000,0.002952
0.400000,0.000000,-0.018760
0.400000,0.100000,0.021294
0.400000,0.200000,0.053000
0.400000,0.300000,0.075950
0.400000,0.400000,0.089793
0.400000,0.500000,0.094278
0.400000,0.600000,0.089277
0.400000,0.700000,0.074793
0.400000,0.800000,0.050944
0.400000,0.900000,0.017934
0.400000,1.000000,-0.023996
0.500000,0.000000,-0.039405
0.500000,0.100000,0.007374
0.500000,0.200000,0.043860
0.500000,0.300000,0.069833
0.500000,0.400000,0.085094
0.500000,0.500000,0.089485
0.500000,0.600000,0.082897
0.500000,0.700000,0.065271
0.500000,0.800000,0.036592
0.500000,0.900000,-0.003121
0.500000,1.000000,-0.053841
0.600000,0.000000,-0.060418
0.600000,0.100000,-0.006191
0.600000,0.200000,0.035778
0.600000,0.300000,0.065340
0.600000,0.400000,0.082352
0.600000,0.500000,0.086690
0.600000,0.600000,0.078249
0.600000,0.700000,0.056943
0.600000,0.800000,0.022704
0.600000,0.900000,-0.024524
0.600000,1.000000,-0.084792
0.700000,0.000000,-0.081478
0.700000,0.100000,-0.019526
0.700000,0.200000,0.028192
0.700000,0.300000,0.061552
0.700000,0.400000,0.080434
0.700000,0.500000,0.084723
0.700000,0.600000,0.074316
0.700000,0.700000,0.049115
0.700000,0.800000,0.009032
0.700000,0.900000,-0.046018
0.700000,1.000000,-0.116118
0.800000,0.000000,-0.102492
0.800000,0.100000,-0.032704
0.800000,0.200000,0.020867
0.800000,0.300000,0.058104
0.800000,0.400000,0.078897
0.800000,0.500000,0.083137
0.800000,0.600000,0.070717
0.800000,0.700000,0.041538
0.800000,0.800000,-0.004499
0.800000,0.900000,-0.067489
0.800000,1.000000,-0.147527
0.900000,0.000000,-0.123435
0.900000,0.100000,-0.045765
0.900000,0.200000,0.013699
0.900000,0.300000,0.054846
0.900000,0.400000,0.077568
0.900000,0.500000,0.081757
0.900000,0.600000,0.067307
0.900000,0.700000,0.034117
0.900000,0.800000,-0.017915
0.900000,0.900000,-0.088889
0.900000,1.000000,-0.178903
1.000000,0.000000,-0.144308
1.000000,0.100000,-0.058734
1.000000,0.200000,0.006644
1.000000,0.300000,0.051715
1.000000,0.400000,0.076374
1.000000,0.500000,0.080514
1.000000,0.600000,0.064029
1.000000,0.700000,0.026816
1.000000,0.800000,-0.031227
1.000000,0.900000,-0.110201
1.000000,1.000000,-0.210206
