t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.010000,0.000000,-0.001717
0.010000,0.100000,0.089714
0.010000,0.200000,0.171594
0.010000,0.300000,0.236371
0.010000,0.400000,0.277902
0.010000,0.500000,0.292203
0.010000,0.600000,0.277896
0.010000,0.700000,0.236356
0.010000,0.800000,0.171554
0.010000,0.900000,0.089608
0.010000,1.000000,-0.001994
0.020000,0.000000,-0.001656
0.020000,0.100000,0.082265
0.020000,0.200000,0.157637
0.020000,0.300000,0.217253
0.020000,0.400000,0.255450
0.020000,0.500000,0.268596
0.020000,0.600000,0.255436
0.020000,0.700000,0.217214
0.020000,0.800000,0.157551
0.020000,0.900000,0.082086
0.020000,1.000000,-0.002001
0.030000,0.000000,-0.001487
0.030000,0.100000,0.075737
0.030000,0.200000,0.145133
0.030000,0.300000,0.200023
0.030000,0.400000,0.235184
0.030000,0.500000,0.247280
0.030000,0.600000,0.235159
0.030000,0.700000,0.199960
0.030000,0.800000,0.145007
0.030000,0.900000,0.075511
0.030000,1.000000,-0.001862
0.040000,0.000000,-0.001291
0.040000,0.100000,0.069963
0.040000,0.200000,0.133942
0.040000,0.300000,0.184531
0.040000,0.400000,0.216927
0.040000,0.500000,0.228065
0.040000,0.600000,0.216890
0.040000,0.700000,0.184446
0.040000,0.800000,0.133787
0.040000,0.900000,0.069707
0.040000,1.000000,-0.001675
0.050000,0.000000,-0.001111
0.050000,0.100000,0.064828
0.050000,0.200000,0.123931
0.050000,0.300000,0.170624
0.050000,0.400000,0.200510
0.050000,0.500000,0.210780
0.050000,0.600000,0.200464
0.050000,0.700000,0.170521
0.050000,0.800000,0.123755
0.050000,0.900000,0.064556
0.050000,1.000000,-0.001494
0.060000,0.000000,-0.000970
0.060000,0.100000,0.060246
0.060000,0.200000,0.114979
0.060000,0.300000,0.158160
0.060000,0.400000,0.185777
0.060000,0.500000,0.195260
0.060000,0.600000,0.185722
0.060000,0.700000,0.158044
0.060000,0.800000,0.114788
0.060000,0.900000,0.059966
0.060000,1.000000,-0.001346
0.070000,0.000000,-0.000878
0.070000,0.100000,0.056149
0.070000,0.200000,0.106978
0.070000,0.300000,0.147005
0.070000,0.400000,0.172578
0.070000,0.500000,0.181352
0.070000,0.600000,0.172518
0.070000,0.700000,0.146880
0.070000,0.800000,0.106778
0.070000,0.900000,0.055865
0.070000,1.000000,-0.001249
0.080000,0.000000,-0.000840
0.080000,0.100000,0.052480
0.080000,0.200000,0.099832
0.080000,0.300000,0.137038
0.080000,0.400000,0.160776
0.080000,0.500000,0.168914
0.080000,0.600000,0.160713
0.080000,0.700000,0.136906
0.080000,0.800000,0.099626
0.080000,0.900000,0.052193
0.080000,1.000000,-0.001211
0.090000,0.000000,-0.000858
0.090000,0.100000,0.049193
0.090000,0.200000,0.093457
0.090000,0.300000,0.128147
0.090000,0.400000,0.150245
0.090000,0.500000,0.157812
0.090000,0.600000,0.150178
0.090000,0.700000,0.128010
0.090000,0.800000,0.093246
0.090000,0.900000,0.048901
0.090000,1.000000,-0.001236
0.100000,0.000000,-0.000931
0.100000,0.100000,0.046247
0.100000,0.200000,0.087778
0.100000,0.300000,0.120231
0.100000,0.400000,0.140867
0.100000,0.500000,0.147926
0.100000,0.600000,0.140798
0.100000,0.700000,0.120089
0.100000,0.800000,0.087560
0.100000,0.900000,0.045945
0.100000,1.000000,-0.001326
0.110000,0.000000,-0.001056
0.110000,0.100000,0.043606
0.110000,0.200000,0.082727
0.110000,0.300000,0.113198
0.110000,0.400000,0.132536
0.110000,0.500000,0.139142
0.110000,0.600000,0.132463
0.110000,0.700000,0.113051
0.110000,0.800000,0.082500
0.110000,0.900000,0.043288
0.110000,1.000000,-0.001480
