t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.001000,0.000000,-0.001540
0.001000,0.100000,0.097424
0.001000,0.200000,0.185431
0.001000,0.300000,0.255218
0.001000,0.400000,0.300021
0.001000,0.500000,0.315458
0.001000,0.600000,0.300021
0.001000,0.700000,0.255218
0.001000,0.800000,0.185431
0.001000,0.900000,0.097417
0.001000,1.000000,-0.001701
0.002000,0.000000,-0.001649
0.002000,0.100000,0.096431
0.002000,0.200000,0.183773
0.002000,0.300000,0.252943
0.002000,0.400000,0.297340
0.002000,0.500000,0.312637
0.002000,0.600000,0.297340
0.002000,0.700000,0.252943
0.002000,0.800000,0.183772
0.002000,0.900000,0.096409
0.002000,1.000000,-0.001836
0.003000,0.000000,-0.001747
0.003000,0.100000,0.095461
0.003000,0.200000,0.182124
0.003000,0.300000,0.250690
0.003000,0.400000,0.294687
0.003000,0.500000,0.309845
0.003000,0.600000,0.294687
0.003000,0.700000,0.250689
0.003000,0.800000,0.182120
0.003000,0.900000,0.095425
0.003000,1.000000,-0.001958
0.004000,0.000000,-0.001834
0.004000,0.100000,0.094511
0.004000,0.200000,0.180485
0.004000,0.300000,0.248459
0.004000,0.400000,0.292062
0.004000,0.500000,0.307083
0.004000,0.600000,0.292062
0.004000,0.700000,0.248458
0.004000,0.800000,0.180478
0.004000,0.900000,0.094461
0.004000,1.000000,-0.002068
0.005000,0.000000,-0.001914
0.005000,0.100000,0.093580
0.005000,0.200000,0.178859
0.005000,0.300000,0.246249
0.005000,0.400000,0.289464
0.005000,0.500000,0.304350
0.005000,0.600000,0.289464
0.005000,0.700000,0.246248
0.005000,0.800000,0.178847
0.005000,0.900000,0.093516
0.005000,1.000000,-0.002169
0.006000,0.000000,-0.001986
0.006000,0.100000,0.092666
0.006000,0.200000,0.177246
0.006000,0.300000,0.244061
0.006000,0.400000,0.286894
0.006000,0.500000,0.301646
0.006000,0.600000,0.286893
0.006000,0.700000,0.244059
0.006000,0.800000,0.177230
0.006000,0.900000,0.092587
0.006000,1.000000,-0.002263
0.007000,0.000000,-0.002052
0.007000,0.100000,0.091767
0.007000,0.200000,0.175648
0.007000,0.300000,0.241895
0.007000,0.400000,0.284350
0.007000,0.500000,0.298971
0.007000,0.600000,0.284349
0.007000,0.700000,0.241891
0.007000,0.800000,0.175627
0.007000,0.900000,0.091675
0.007000,1.000000,-0.002349
0.008000,0.000000,-0.002113
0.008000,0.100000,0.090883
0.008000,0.200000,0.174065
0.008000,0.300000,0.239749
0.008000,0.400000,0.281833
0.008000,0.500000,0.296324
0.008000,0.600000,0.281832
0.008000,0.700000,0.239744
0.008000,0.800000,0.174039
0.008000,0.900000,0.090778
0.008000,1.000000,-0.002430
0.009000,0.000000,-0.002170
0.009000,0.100000,0.090014
0.009000,0.200000,0.172499
0.009000,0.300000,0.237625
0.009000,0.400000,0.279341
0.009000,0.500000,0.293704
0.009000,0.600000,0.279340
0.009000,0.700000,0.237618
0.009000,0.800000,0.172466
0.009000,0.900000,0.089896
0.009000,1.000000,-0.002505
0.010000,0.000000,-0.002222
0.010000,0.100000,0.089157
0.010000,0.200000,0.170948
0.010000,0.300000,0.235521
0.010000,0.400000,0.276876
0.010000,0.500000,0.291112
0.010000,0.600000,0.276874
0.010000,0.700000,0.235512
0.010000,0.800000,0.170909
0.010000,0.900000,0.089026
0.010000,1.000000,-0.002576
0.011000,0.000000,-0.002271
0.011000,0.100000,0.088314
0.011000,0.200000,0.169413
0.011000,0.300000,0.233439
0.011000,0.400000,0.274436
0.011000,0.500000,0.288547
0.011000,0.600000,0.274433
0.011000,0.700000,0.233427
0.011000,0.800000,0.169368
0.011000,0.900000,0.088170
0.011000,1.000000,-0.002642
