t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.100000,0.000000,-0.018057
0.100000,0.100000,0.027408
0.100000,0.200000,0.066510
0.100000,0.300000,0.096610
0.100000,0.400000,0.115535
0.100000,0.500000,0.121854
0.100000,0.600000,0.115041
0.100000,0.700000,0.095523
0.100000,0.800000,0.064614
0.100000,0.900000,0.024323
0.100000,1.000000,-0.022948
0.200000,0.000000,-0.031566
0.200000,0.100000,-0.000831
0.200000,0.200000,0.024818
0.200000,0.300000,0.043933
0.200000,0.400000,0.055485
0.200000,0.500000,0.058834
0.200000,0.600000,0.053711
0.200000,0.700000,0.040227
0.200000,0.800000,0.018875
0.200000,0.900000,-0.009442
0.200000,1.000000,-0.043333
0.300000,0.000000,-0.041967
0.300000,0.100000,-0.010986
0.300000,0.200000,0.013249
0.300000,0.300000,0.030505
0.300000,0.400000,0.040437
0.300000,0.500000,0.042764
0.300000,0.600000,0.037347
0.300000,0.700000,0.024220
0.300000,0.800000,0.003558
0.300000,0.900000,-0.024401
0.300000,1.000000,-0.059578
0.400000,0.000000,-0.053399
0.400000,0.100000,-0.016809
0.400000,0.200000,0.011562
0.400000,0.300000,0.031374
0.400000,0.400000,0.042485
0.400000,0.500000,0.044810
0.400000,0.600000,0.038287
0.400000,0.700000,0.022864
0.400000,0.800000,-0.001497
0.400000,0.900000,-0.034771
0.400000,1.000000,-0.076700
0.500000,0.000000,-0.064892
0.500000,0.100000,-0.020662
0.500000,0.200000,0.013217
0.500000,0.300000,0.036785
0.500000,0.400000,0.049937
0.500000,0.500000,0.052564
0.500000,0.600000,0.044590
0.500000,0.700000,0.025977
0.500000,0.800000,-0.003275
0.500000,0.900000,-0.043170
0.500000,1.000000,-0.093889
0.600000,0.000000,-0.077205
0.600000,0.100000,-0.024657
0.600000,0.200000,0.015643
0.600000,0.300000,0.043539
0.600000,0.400000,0.059002
0.600000,0.500000,0.062002
0.600000,0.600000,0.052491
0.600000,0.700000,0.030399
0.600000,0.800000,-0.004368
0.600000,0.900000,-0.051912
0.600000,1.000000,-0.112180
0.700000,0.000000,-0.089958
0.700000,0.100000,-0.028854
0.700000,0.200000,0.017858
0.700000,0.300000,0.050217
0.700000,0.400000,0.068145
0.700000,0.500000,0.071565
0.700000,0.600000,0.060408
0.700000,0.700000,0.034615
0.700000,0.800000,-0.005859
0.700000,0.900000,-0.061054
0.700000,1.000000,-0.131154
0.800000,0.000000,-0.103359
0.800000,0.100000,-0.033658
0.800000,0.200000,0.019675
0.800000,0.300000,0.056523
0.800000,0.400000,0.076864
0.800000,0.500000,0.080658
0.800000,0.600000,0.067847
0.800000,0.700000,0.038359
0.800000,0.800000,-0.007899
0.800000,0.900000,-0.071042
0.800000,1.000000,-0.151080
0.900000,0.000000,-0.117207
0.900000,0.100000,-0.038914
0.900000,0.200000,0.020896
0.900000,0.300000,0.062235
0.900000,0.400000,0.085024
0.900000,0.500000,0.089192
0.900000,0.600000,0.074672
0.900000,0.700000,0.041393
0.900000,0.800000,-0.010709
0.900000,0.900000,-0.081688
0.900000,1.000000,-0.171702
1.000000,0.000000,-0.131585
1.000000,0.100000,-0.044738
1.000000,0.200000,0.021626
1.000000,0.300000,0.067408
1.000000,0.400000,0.092575
1.000000,0.500000,0.097073
1.000000,0.600000,0.080836
1.000000,0.700000,0.043790
1.000000,0.800000,-0.014154
1.000000,0.900000,-0.093110
1.000000,1.000000,-0.193115
