t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.004000,0.000000,-0.001507
0.004000,0.100000,0.094872
0.004000,0.200000,0.180412
0.004000,0.300000,0.248275
0.004000,0.400000,0.291837
0.004000,0.500000,0.306847
0.004000,0.600000,0.291837
0.004000,0.700000,0.248275
0.004000,0.800000,0.180412
0.004000,0.900000,0.094872
0.004000,1.000000,-0.001657
0.008000,0.000000,-0.002072
0.008000,0.100000,0.090929
0.008000,0.200000,0.174013
0.008000,0.300000,0.239427
0.008000,0.400000,0.281408
0.008000,0.500000,0.295871
0.008000,0.600000,0.281408
0.008000,0.700000,0.239427
0.008000,0.800000,0.174013
0.008000,0.900000,0.090868
0.008000,1.000000,-0.002340
0.012000,0.000000,-0.002404
0.012000,0.100000,0.087386
0.012000,0.200000,0.167649
0.012000,0.300000,0.230958
0.012000,0.400000,0.271425
0.012000,0.500000,0.285365
0.012000,0.600000,0.271425
0.012000,0.700000,0.230958
0.012000,0.800000,0.167625
0.012000,0.900000,0.087267
0.012000,1.000000,-0.002764
0.016000,0.000000,-0.002692
0.016000,0.100000,0.084031
0.016000,0.200000,0.161603
0.016000,0.300000,0.222757
0.016000,0.400000,0.261870
0.016000,0.500000,0.275309
0.016000,0.600000,0.261870
0.016000,0.700000,0.222747
0.016000,0.800000,0.161551
0.016000,0.900000,0.083854
0.016000,1.000000,-0.003139
0.020000,0.000000,-0.002935
0.020000,0.100000,0.080859
0.020000,0.200000,0.155804
0.020000,0.300000,0.214909
0.020000,0.400000,0.252688
0.020000,0.500000,0.265686
0.020000,0.600000,0.252684
0.020000,0.700000,0.214886
0.020000,0.800000,0.155719
0.020000,0.900000,0.080624
0.020000,1.000000,-0.003463
0.024000,0.000000,-0.003155
0.024000,0.100000,0.077839
0.024000,0.200000,0.150268
0.024000,0.300000,0.207379
0.024000,0.400000,0.243895
0.024000,0.500000,0.256446
0.024000,0.600000,0.243886
0.024000,0.700000,0.207338
0.024000,0.800000,0.150147
0.024000,0.900000,0.077547
0.024000,1.000000,-0.003762
0.028000,0.000000,-0.003354
0.028000,0.100000,0.074965
0.028000,0.200000,0.144973
0.028000,0.300000,0.200173
0.028000,0.400000,0.235461
0.028000,0.500000,0.247594
0.028000,0.600000,0.235443
0.028000,0.700000,0.200113
0.028000,0.800000,0.144816
0.028000,0.900000,0.074615
0.028000,1.000000,-0.004039
0.032000,0.000000,-0.003540
0.032000,0.100000,0.072224
0.032000,0.200000,0.139914
0.032000,0.300000,0.193272
0.032000,0.400000,0.227383
0.032000,0.500000,0.239104
0.032000,0.600000,0.227355
0.032000,0.700000,0.193190
0.032000,0.800000,0.139718
0.032000,0.900000,0.071818
0.032000,1.000000,-0.004301
0.036000,0.000000,-0.003714
0.036000,0.100000,0.069610
0.036000,0.200000,0.135077
0.036000,0.300000,0.186669
0.036000,0.400000,0.219643
0.036000,0.500000,0.230972
0.036000,0.600000,0.219605
0.036000,0.700000,0.186563
0.036000,0.800000,0.134843
0.036000,0.900000,0.069146
0.036000,1.000000,-0.004549
0.040000,0.000000,-0.003879
0.040000,0.100000,0.067115
0.040000,0.200000,0.130455
0.040000,0.300000,0.180350
0.040000,0.400000,0.212233
0.040000,0.500000,0.223182
0.040000,0.600000,0.212183
0.040000,0.700000,0.180220
0.040000,0.800000,0.130181
0.040000,0.900000,0.066595
0.040000,1.000000,-0.004788
0.044000,0.000000,-0.004037
0.044000,0.100000,0.064733
0.044000,0.200000,0.126037
0.044000,0.300000,0.174305
0.044000,0.400000,0.205139
0.044000,0.500000,0.215723
0.044000,0.600000,0.205077
0.044000,0.700000,0.174149
0.044000,0.800000,0.125722
0.044000,0.900000,0.064156
0.044000,1.000000,-0.005018
