t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.004500,0.000000,-0.001519
0.004500,0.100000,0.094435
0.004500,0.200000,0.179576
0.004500,0.300000,0.247120
0.004500,0.400000,0.290476
0.004500,0.500000,0.305414
0.004500,0.600000,0.290476
0.004500,0.700000,0.247120
0.004500,0.800000,0.179576
0.004500,0.900000,0.094435
0.004500,1.000000,-0.001671
0.009000,0.000000,-0.002169
0.009000,0.100000,0.090015
0.009000,0.200000,0.172418
0.009000,0.300000,0.237221
0.009000,0.400000,0.278808
0.009000,0.500000,0.293135
0.009000,0.600000,0.278808
0.009000,0.700000,0.237221
0.009000,0.800000,0.172418
0.009000,0.900000,0.089947
0.009000,1.000000,-0.002454
0.013500,0.000000,-0.002523
0.013500,0.100000,0.086100
0.013500,0.200000,0.165299
0.013500,0.300000,0.227800
0.013500,0.400000,0.267702
0.013500,0.500000,0.281447
0.013500,0.600000,0.267702
0.013500,0.700000,0.227800
0.013500,0.800000,0.165268
0.013500,0.900000,0.085965
0.013500,1.000000,-0.002911
0.018000,0.000000,-0.002853
0.018000,0.100000,0.082385
0.018000,0.200000,0.158626
0.018000,0.300000,0.218697
0.018000,0.400000,0.257133
0.018000,0.500000,0.270323
0.018000,0.600000,0.257133
0.018000,0.700000,0.218683
0.018000,0.800000,0.158562
0.018000,0.900000,0.082184
0.018000,1.000000,-0.003340
0.022500,0.000000,-0.003121
0.022500,0.100000,0.078904
0.022500,0.200000,0.152232
0.022500,0.300000,0.210068
0.022500,0.400000,0.247014
0.022500,0.500000,0.259739
0.022500,0.600000,0.247008
0.022500,0.700000,0.210038
0.022500,0.800000,0.152128
0.022500,0.900000,0.078636
0.022500,1.000000,-0.003701
0.027000,0.000000,-0.003372
0.027000,0.100000,0.075598
0.027000,0.200000,0.146183
0.027000,0.300000,0.201815
0.027000,0.400000,0.237397
0.027000,0.500000,0.249611
0.027000,0.600000,0.237383
0.027000,0.700000,0.201763
0.027000,0.800000,0.146038
0.027000,0.900000,0.075263
0.027000,1.000000,-0.004044
0.031500,0.000000,-0.003597
0.031500,0.100000,0.072473
0.031500,0.200000,0.140417
0.031500,0.300000,0.193980
0.031500,0.400000,0.228204
0.031500,0.500000,0.239980
0.031500,0.600000,0.228180
0.031500,0.700000,0.193904
0.031500,0.800000,0.140229
0.031500,0.900000,0.072072
0.031500,1.000000,-0.004357
0.036000,0.000000,-0.003810
0.036000,0.100000,0.069505
0.036000,0.200000,0.134949
0.036000,0.300000,0.186506
0.036000,0.400000,0.219466
0.036000,0.500000,0.230779
0.036000,0.600000,0.219429
0.036000,0.700000,0.186403
0.036000,0.800000,0.134715
0.036000,0.900000,0.069038
0.036000,1.000000,-0.004658
0.040500,0.000000,-0.004008
0.040500,0.100000,0.066692
0.040500,0.200000,0.129744
0.040500,0.300000,0.179406
0.040500,0.400000,0.211129
0.040500,0.500000,0.222030
0.040500,0.600000,0.211079
0.040500,0.700000,0.179274
0.040500,0.800000,0.129464
0.040500,0.900000,0.066159
0.040500,1.000000,-0.004942
0.045000,0.000000,-0.004198
0.045000,0.100000,0.064020
0.045000,0.200000,0.124803
0.045000,0.300000,0.172643
0.045000,0.400000,0.203204
0.045000,0.500000,0.213686
0.045000,0.600000,0.203139
0.045000,0.700000,0.172481
0.045000,0.800000,0.124476
0.045000,0.900000,0.063420
0.045000,1.000000,-0.005218
0.049500,0.000000,-0.004380
0.049500,0.100000,0.061484
0.049500,0.200000,0.120104
0.049500,0.300000,0.166217
0.049500,0.400000,0.195653
0.049500,0.500000,0.205753
0.049500,0.600000,0.195574
0.049500,0.700000,0.166025
0.049500,0.800000,0.119728
0.049500,0.900000,0.060818
0.049500,1.000000,-0.005484
