t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.005000,0.000000,-0.001533
0.005000,0.100000,0.093999
0.005000,0.200000,0.178741
0.005000,0.300000,0.245964
0.005000,0.400000,0.289114
0.005000,0.500000,0.303981
0.005000,0.600000,0.289114
0.005000,0.700000,0.245964
0.005000,0.800000,0.178741
0.005000,0.900000,0.093999
0.005000,1.000000,-0.001686
0.010000,0.000000,-0.002271
0.010000,0.100000,0.089104
0.010000,0.200000,0.170832
0.010000,0.300000,0.235027
0.010000,0.400000,0.276222
0.010000,0.500000,0.290414
0.010000,0.600000,0.276222
0.010000,0.700000,0.235027
0.010000,0.800000,0.170832
0.010000,0.900000,0.089027
0.010000,1.000000,-0.002575
0.015000,0.000000,-0.002644
0.015000,0.100000,0.084830
0.015000,0.200000,0.162966
0.015000,0.300000,0.224677
0.015000,0.400000,0.264021
0.015000,0.500000,0.277572
0.015000,0.600000,0.264021
0.015000,0.700000,0.224677
0.015000,0.800000,0.162927
0.015000,0.900000,0.084679
0.015000,1.000000,-0.003061
0.020000,0.000000,-0.003024
0.020000,0.100000,0.080761
0.020000,0.200000,0.155704
0.020000,0.300000,0.214693
0.020000,0.400000,0.252475
0.020000,0.500000,0.265421
0.020000,0.600000,0.252475
0.020000,0.700000,0.214674
0.020000,0.800000,0.155628
0.020000,0.900000,0.080533
0.020000,1.000000,-0.003554
0.025000,0.000000,-0.003313
0.025000,0.100000,0.076990
0.025000,0.200000,0.148727
0.025000,0.300000,0.205339
0.025000,0.400000,0.241457
0.025000,0.500000,0.253925
0.025000,0.600000,0.241447
0.025000,0.700000,0.205301
0.025000,0.800000,0.148604
0.025000,0.900000,0.076687
0.025000,1.000000,-0.003947
0.030000,0.000000,-0.003605
0.030000,0.100000,0.073407
0.030000,0.200000,0.142215
0.030000,0.300000,0.196392
0.030000,0.400000,0.231082
0.030000,0.500000,0.242952
0.030000,0.600000,0.231063
0.030000,0.700000,0.196325
0.030000,0.800000,0.142044
0.030000,0.900000,0.073028
0.030000,1.000000,-0.004344
0.035000,0.000000,-0.003851
0.035000,0.100000,0.070055
0.035000,0.200000,0.135999
0.035000,0.300000,0.187998
0.035000,0.400000,0.221172
0.035000,0.500000,0.232623
0.035000,0.600000,0.221139
0.035000,0.700000,0.187904
0.035000,0.800000,0.135777
0.035000,0.900000,0.069600
0.035000,1.000000,-0.004691
0.040000,0.000000,-0.004099
0.040000,0.100000,0.066874
0.040000,0.200000,0.130177
0.040000,0.300000,0.179986
0.040000,0.400000,0.211860
0.040000,0.500000,0.222755
0.040000,0.600000,0.211813
0.040000,0.700000,0.179858
0.040000,0.800000,0.129902
0.040000,0.900000,0.066343
0.040000,1.000000,-0.005040
0.045000,0.000000,-0.004317
0.045000,0.100000,0.063889
0.045000,0.200000,0.124630
0.045000,0.300000,0.172468
0.045000,0.400000,0.202971
0.045000,0.500000,0.213487
0.045000,0.600000,0.202907
0.045000,0.700000,0.172307
0.045000,0.800000,0.124300
0.045000,0.900000,0.063281
0.045000,1.000000,-0.005357
0.050000,0.000000,-0.004540
0.050000,0.100000,0.061056
0.050000,0.200000,0.119429
0.050000,0.300000,0.165300
0.050000,0.400000,0.194628
0.050000,0.500000,0.204639
0.050000,0.600000,0.194547
0.050000,0.700000,0.165103
0.050000,0.800000,0.119044
0.050000,0.900000,0.060372
0.050000,1.000000,-0.005678
0.055000,0.000000,-0.004742
0.055000,0.100000,0.058395
0.055000,0.200000,0.114478
0.055000,0.300000,0.158578
0.055000,0.400000,0.186669
0.055000,0.500000,0.196337
0.055000,0.600000,0.186571
0.055000,0.700000,0.158346
0.055000,0.800000,0.114038
0.055000,0.900000,0.057633
0.055000,1.000000,-0.005977
