t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.006000,0.000000,-0.001567
0.006000,0.100000,0.093126
0.006000,0.200000,0.177069
0.006000,0.300000,0.243654
0.006000,0.400000,0.286391
0.006000,0.500000,0.301115
0.006000,0.600000,0.286391
0.006000,0.700000,0.243654
0.006000,0.800000,0.177069
0.006000,0.900000,0.093126
0.006000,1.000000,-0.001724
0.012000,0.000000,-0.002494
0.012000,0.100000,0.087288
0.012000,0.200000,0.167686
0.012000,0.300000,0.230677
0.012000,0.400000,0.271095
0.012000,0.500000,0.285018
0.012000,0.600000,0.271095
0.012000,0.700000,0.230677
0.012000,0.800000,0.167686
0.012000,0.900000,0.087194
0.012000,1.000000,-0.002837
0.018000,0.000000,-0.002892
0.018000,0.100000,0.082342
0.018000,0.200000,0.158346
0.018000,0.300000,0.218537
0.018000,0.400000,0.256782
0.018000,0.500000,0.269954
0.018000,0.600000,0.256782
0.018000,0.700000,0.218537
0.018000,0.800000,0.158289
0.018000,0.900000,0.082155
0.018000,1.000000,-0.003369
0.024000,0.000000,-0.003409
0.024000,0.100000,0.077560
0.024000,0.200000,0.150034
0.024000,0.300000,0.206845
0.024000,0.400000,0.243394
0.024000,0.500000,0.255864
0.024000,0.600000,0.243394
0.024000,0.700000,0.206811
0.024000,0.800000,0.149933
0.024000,0.900000,0.077278
0.024000,1.000000,-0.004032
0.030000,0.000000,-0.003710
0.030000,0.100000,0.073291
0.030000,0.200000,0.141884
0.030000,0.300000,0.196236
0.030000,0.400000,0.230674
0.030000,0.500000,0.242689
0.030000,0.600000,0.230654
0.030000,0.700000,0.196182
0.030000,0.800000,0.141715
0.030000,0.900000,0.072913
0.030000,1.000000,-0.004459
0.036000,0.000000,-0.004136
0.036000,0.100000,0.069146
0.036000,0.200000,0.134660
0.036000,0.300000,0.185908
0.036000,0.400000,0.219020
0.036000,0.500000,0.230119
0.036000,0.600000,0.218992
0.036000,0.700000,0.185805
0.036000,0.800000,0.134434
0.036000,0.900000,0.068671
0.036000,1.000000,-0.005025
0.042000,0.000000,-0.004371
0.042000,0.100000,0.065457
0.042000,0.200000,0.127493
0.042000,0.300000,0.176718
0.042000,0.400000,0.207685
0.042000,0.500000,0.218715
0.042000,0.600000,0.207628
0.042000,0.700000,0.176587
0.042000,0.800000,0.127191
0.042000,0.900000,0.064883
0.042000,1.000000,-0.005382
0.048000,0.000000,-0.004765
0.048000,0.100000,0.061825
0.048000,0.200000,0.121270
0.048000,0.300000,0.167527
0.048000,0.400000,0.197667
0.048000,0.500000,0.207449
0.048000,0.600000,0.197599
0.048000,0.700000,0.167338
0.048000,0.800000,0.120908
0.048000,0.900000,0.061152
0.048000,1.000000,-0.005914
0.054000,0.000000,-0.004939
0.054000,0.100000,0.058654
0.054000,0.200000,0.114893
0.054000,0.300000,0.159693
0.054000,0.400000,0.187468
0.054000,0.500000,0.197746
0.054000,0.600000,0.187368
0.054000,0.700000,0.159473
0.054000,0.800000,0.114449
0.054000,0.900000,0.057882
0.054000,1.000000,-0.006205
0.060000,0.000000,-0.005348
0.060000,0.100000,0.055430
0.060000,0.200000,0.109638
0.060000,0.300000,0.151386
0.060000,0.400000,0.179058
0.060000,0.500000,0.187500
0.060000,0.600000,0.178945
0.060000,0.700000,0.151104
0.060000,0.800000,0.109131
0.060000,0.900000,0.054558
0.060000,1.000000,-0.006754
0.066000,0.000000,-0.005440
0.066000,0.100000,0.052748
0.066000,0.200000,0.103842
0.066000,0.300000,0.144920
0.066000,0.400000,0.169680
0.066000,0.500000,0.179522
0.066000,0.600000,0.169533
0.066000,0.700000,0.144605
0.066000,0.800000,0.103251
0.066000,0.900000,0.051774
0.066000,1.000000,-0.006958
