t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.005500,0.000000,-0.001549
0.005500,0.100000,0.093563
0.005500,0.200000,0.177905
0.005500,0.300000,0.244809
0.005500,0.400000,0.287752
0.005500,0.500000,0.302548
0.005500,0.600000,0.287752
0.005500,0.700000,0.244809
0.005500,0.800000,0.177905
0.005500,0.900000,0.093563
0.005500,1.000000,-0.001704
0.011000,0.000000,-0.002379
0.011000,0.100000,0.088195
0.011000,0.200000,0.169254
0.011000,0.300000,0.232846
0.011000,0.400000,0.273651
0.011000,0.500000,0.287708
0.011000,0.600000,0.273651
0.011000,0.700000,0.232846
0.011000,0.800000,0.169254
0.011000,0.900000,0.088110
0.011000,1.000000,-0.002702
0.016500,0.000000,-0.002767
0.016500,0.100000,0.083578
0.016500,0.200000,0.160648
0.016500,0.300000,0.221590
0.016500,0.400000,0.260381
0.016500,0.500000,0.273742
0.016500,0.600000,0.260381
0.016500,0.700000,0.221590
0.016500,0.800000,0.160601
0.016500,0.900000,0.083409
0.016500,1.000000,-0.003213
0.022000,0.000000,-0.003208
0.022000,0.100000,0.079153
0.022000,0.200000,0.152839
0.022000,0.300000,0.210743
0.022000,0.400000,0.247896
0.022000,0.500000,0.260601
0.022000,0.600000,0.247896
0.022000,0.700000,0.210718
0.022000,0.800000,0.152750
0.022000,0.900000,0.078899
0.022000,1.000000,-0.003783
0.027500,0.000000,-0.003511
0.027500,0.100000,0.075118
0.027500,0.200000,0.145281
0.027500,0.300000,0.200727
0.027500,0.400000,0.236012
0.027500,0.500000,0.248242
0.027500,0.600000,0.235998
0.027500,0.700000,0.200681
0.027500,0.800000,0.145136
0.027500,0.900000,0.074779
0.027500,1.000000,-0.004201
0.033000,0.000000,-0.003857
0.033000,0.100000,0.071259
0.033000,0.200000,0.138369
0.033000,0.300000,0.191096
0.033000,0.400000,0.224954
0.033000,0.500000,0.236459
0.033000,0.600000,0.224930
0.033000,0.700000,0.191013
0.033000,0.800000,0.138172
0.033000,0.900000,0.070834
0.033000,1.000000,-0.004669
0.038500,0.000000,-0.004113
0.038500,0.100000,0.067714
0.038500,0.200000,0.131702
0.038500,0.300000,0.182236
0.038500,0.400000,0.214343
0.038500,0.500000,0.225528
0.038500,0.600000,0.214299
0.038500,0.700000,0.182123
0.038500,0.800000,0.131442
0.038500,0.900000,0.067201
0.038500,1.000000,-0.005036
0.044000,0.000000,-0.004412
0.044000,0.100000,0.064321
0.044000,0.200000,0.125606
0.044000,0.300000,0.173679
0.044000,0.400000,0.204580
0.044000,0.500000,0.214999
0.044000,0.600000,0.204522
0.044000,0.700000,0.173524
0.044000,0.800000,0.125287
0.044000,0.900000,0.063721
0.044000,1.000000,-0.005453
0.049500,0.000000,-0.004635
0.049500,0.100000,0.061203
0.049500,0.200000,0.119704
0.049500,0.300000,0.165873
0.049500,0.400000,0.195119
0.049500,0.500000,0.205365
0.049500,0.600000,0.195039
0.049500,0.700000,0.165682
0.049500,0.800000,0.119320
0.049500,0.900000,0.060516
0.049500,1.000000,-0.005786
0.055000,0.000000,-0.004912
0.055000,0.100000,0.058207
0.055000,0.200000,0.114346
0.055000,0.300000,0.158265
0.055000,0.400000,0.186533
0.055000,0.500000,0.195970
0.055000,0.600000,0.186436
0.055000,0.700000,0.158029
0.055000,0.800000,0.113901
0.055000,0.900000,0.057432
0.055000,1.000000,-0.006179
0.060500,0.000000,-0.005111
0.060500,0.100000,0.055468
0.060500,0.200000,0.109110
0.060500,0.300000,0.151417
0.060500,0.400000,0.178101
0.060500,0.500000,0.187516
0.060500,0.600000,0.177981
0.060500,0.700000,0.151143
0.060500,0.800000,0.108598
0.060500,0.900000,0.054604
0.060500,1.000000,-0.006486
