t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.004500,0.000000,0.002732
0.004500,0.100000,0.099111
0.004500,0.200000,0.187977
0.004500,0.300000,0.257781
0.004500,0.400000,0.302139
0.004500,0.500000,0.317327
0.004500,0.600000,0.302139
0.004500,0.700000,0.257781
0.004500,0.800000,0.187977
0.004500,0.900000,0.099111
0.004500,1.000000,0.003005
0.009000,0.000000,0.006790
0.009000,0.100000,0.099869
0.009000,0.200000,0.188848
0.009000,0.300000,0.258029
0.009000,0.400000,0.301570
0.009000,0.500000,0.316395
0.009000,0.600000,0.301570
0.009000,0.700000,0.258029
0.009000,0.800000,0.188848
0.009000,0.900000,0.099869
0.009000,1.000000,0.007469
0.013500,0.000000,0.010691
0.013500,0.100000,0.100635
0.013500,0.200000,0.189711
0.013500,0.300000,0.258264
0.013500,0.400000,0.301024
0.013500,0.500000,0.315511
0.013500,0.600000,0.301024
0.013500,0.700000,0.258264
0.013500,0.800000,0.189711
0.013500,0.900000,0.100635
0.013500,1.000000,0.011760
0.018000,0.000000,0.014442
0.018000,0.100000,0.101410
0.018000,0.200000,0.190565
0.018000,0.300000,0.258487
0.018000,0.400000,0.300502
0.018000,0.500000,0.314672
0.018000,0.600000,0.300502
0.018000,0.700000,0.258487
0.018000,0.800000,0.190565
0.018000,0.900000,0.101409
0.018000,1.000000,0.015886
0.022500,0.000000,0.018052
0.022500,0.100000,0.102194
0.022500,0.200000,0.191410
0.022500,0.300000,0.258701
0.022500,0.400000,0.300002
0.022500,0.500000,0.313877
0.022500,0.600000,0.300002
0.022500,0.700000,0.258701
0.022500,0.800000,0.191410
0.022500,0.900000,0.102192
0.022500,1.000000,0.019856
0.027000,0.000000,0.021526
0.027000,0.100000,0.102986
0.027000,0.200000,0.192247
0.027000,0.300000,0.258906
0.027000,0.400000,0.299525
0.027000,0.500000,0.313122
0.027000,0.600000,0.299525
0.027000,0.700000,0.258906
0.027000,0.800000,0.192247
0.027000,0.900000,0.102984
0.027000,1.000000,0.023677
0.031500,0.000000,0.024872
0.031500,0.100000,0.103788
0.031500,0.200000,0.193075
0.031500,0.300000,0.259105
0.031500,0.400000,0.299070
0.031500,0.500000,0.312406
0.031500,0.600000,0.299070
0.031500,0.700000,0.259105
0.031500,0.800000,0.193075
0.031500,0.900000,0.103785
0.031500,1.000000,0.027356
0.036000,0.000000,0.028095
0.036000,0.100000,0.104600
0.036000,0.200000,0.193894
0.036000,0.300000,0.259298
0.036000,0.400000,0.298638
0.036000,0.500000,0.311727
0.036000,0.600000,0.298638
0.036000,0.700000,0.259298
0.036000,0.800000,0.193893
0.036000,0.900000,0.104597
0.036000,1.000000,0.030901
0.040500,0.000000,0.031201
0.040500,0.100000,0.105422
0.040500,0.200000,0.194704
0.040500,0.300000,0.259486
0.040500,0.400000,0.298227
0.040500,0.500000,0.311084
0.040500,0.600000,0.298227
0.040500,0.700000,0.259486
0.040500,0.800000,0.194704
0.040500,0.900000,0.105418
0.040500,1.000000,0.034318
0.045000,0.000000,0.034196
0.045000,0.100000,0.106254
0.045000,0.200000,0.195505
0.045000,0.300000,0.259672
0.045000,0.400000,0.297839
0.045000,0.500000,0.310475
0.045000,0.600000,0.297839
0.045000,0.700000,0.259672
0.045000,0.800000,0.195505
0.045000,0.900000,0.106250
0.045000,1.000000,0.037612
0.049500,0.000000,0.037086
0.049500,0.100000,0.107096
0.049500,0.200000,0.196298
0.049500,0.300000,0.259855
0.049500,0.400000,0.297471
0.049500,0.500000,0.309899
0.049500,0.600000,0.297471
0.049500,0.700000,0.259855
0.049500,0.800000,0.196298
0.049500,0.900000,0.107093
0.049500,1.000000,0.040792
0.054000,0.000000,0.039875
0.054000,0.100000,0.107949
