t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.004000,0.000000,0.002271
0.004000,0.100000,0.099028
0.004000,0.200000,0.187880
0.004000,0.300000,0.257753
0.004000,0.400000,0.302204
0.004000,0.500000,0.317435
0.004000,0.600000,0.302204
0.004000,0.700000,0.257753
0.004000,0.800000,0.187880
0.004000,0.900000,0.099028
0.004000,1.000000,0.002499
0.008000,0.000000,0.005902
0.008000,0.100000,0.099700
0.008000,0.200000,0.188656
0.008000,0.300000,0.257975
0.008000,0.400000,0.301695
0.008000,0.500000,0.316600
0.008000,0.600000,0.301695
0.008000,0.700000,0.257975
0.008000,0.800000,0.188656
0.008000,0.900000,0.099701
0.008000,1.000000,0.006493
0.012000,0.000000,0.009408
0.012000,0.100000,0.100380
0.012000,0.200000,0.189425
0.012000,0.300000,0.258187
0.012000,0.400000,0.301205
0.012000,0.500000,0.315803
0.012000,0.600000,0.301205
0.012000,0.700000,0.258187
0.012000,0.800000,0.189425
0.012000,0.900000,0.100380
0.012000,1.000000,0.010349
0.016000,0.000000,0.012794
0.016000,0.100000,0.101066
0.016000,0.200000,0.190187
0.016000,0.300000,0.258389
0.016000,0.400000,0.300733
0.016000,0.500000,0.315043
0.016000,0.600000,0.300733
0.016000,0.700000,0.258389
0.016000,0.800000,0.190187
0.016000,0.900000,0.101065
0.016000,1.000000,0.014073
0.020000,0.000000,0.016065
0.020000,0.100000,0.101758
0.020000,0.200000,0.190943
0.020000,0.300000,0.258584
0.020000,0.400000,0.300279
0.020000,0.500000,0.314318
0.020000,0.600000,0.300279
0.020000,0.700000,0.258584
0.020000,0.800000,0.190943
0.020000,0.900000,0.101757
0.020000,1.000000,0.017670
0.024000,0.000000,0.019226
0.024000,0.100000,0.102458
0.024000,0.200000,0.191692
0.024000,0.300000,0.258771
0.024000,0.400000,0.299843
0.024000,0.500000,0.313625
0.024000,0.600000,0.299843
0.024000,0.700000,0.258771
0.024000,0.800000,0.191692
0.024000,0.900000,0.102456
0.024000,1.000000,0.021147
0.028000,0.000000,0.022282
0.028000,0.100000,0.103165
0.028000,0.200000,0.192434
0.028000,0.300000,0.258952
0.028000,0.400000,0.299425
0.028000,0.500000,0.312965
0.028000,0.600000,0.299425
0.028000,0.700000,0.258952
0.028000,0.800000,0.192434
0.028000,0.900000,0.103163
0.028000,1.000000,0.024508
0.032000,0.000000,0.025238
0.032000,0.100000,0.103880
0.032000,0.200000,0.193168
0.032000,0.300000,0.259127
0.032000,0.400000,0.299025
0.032000,0.500000,0.312335
0.032000,0.600000,0.299025
0.032000,0.700000,0.259127
0.032000,0.800000,0.193168
0.032000,0.900000,0.103877
0.032000,1.000000,0.027758
0.036000,0.000000,0.028097
0.036000,0.100000,0.104603
0.036000,0.200000,0.193896
0.036000,0.300000,0.259299
0.036000,0.400000,0.298642
0.036000,0.500000,0.311734
0.036000,0.600000,0.298642
0.036000,0.700000,0.259299
0.036000,0.800000,0.193896
0.036000,0.900000,0.104599
0.036000,1.000000,0.030903
0.040000,0.000000,0.030864
0.040000,0.100000,0.105333
0.040000,0.200000,0.194617
0.040000,0.300000,0.259467
0.040000,0.400000,0.298277
0.040000,0.500000,0.311161
0.040000,0.600000,0.298277
0.040000,0.700000,0.259467
0.040000,0.800000,0.194617
0.040000,0.900000,0.105329
0.040000,1.000000,0.033946
0.044000,0.000000,0.033543
0.044000,0.100000,0.106071
0.044000,0.200000,0.195331
0.044000,0.300000,0.259632
0.044000,0.400000,0.297929
0.044000,0.500000,0.310616
0.044000,0.600000,0.297929
0.044000,0.700000,0.259632
0.044000,0.800000,0.195331
0.044000,0.900000,0.106067
0.044000,1.000000,0.036893
0.048000,0.000000,0.036137
0.048000,0.100000,0.106818
