t,x,u
0,0,0.000000
0.000000,0.100000,0.098363
0.000000,0.200000,0.187098
0.000000,0.300000,0.257518
0.000000,0.400000,0.302731
0.000000,0.500000,0.318310
0.000000,0.600000,0.302731
0.000000,0.700000,0.257518
0.000000,0.800000,0.187098
0.000000,0.900000,0.098363
0.000000,1.000000,0.000000
0.005000,0.000000,0.003190
0.005000,0.100000,0.099194
0.005000,0.200000,0.188074
0.005000,0.300000,0.257809
0.005000,0.400000,0.302074
0.005000,0.500000,0.317220
0.005000,0.600000,0.302074
0.005000,0.700000,0.257809
0.005000,0.800000,0.188074
0.005000,0.900000,0.099195
0.005000,1.000000,0.003510
0.010000,0.000000,0.007669
0.010000,0.100000,0.100038
0.010000,0.200000,0.189040
0.010000,0.300000,0.258082
0.010000,0.400000,0.301445
0.010000,0.500000,0.316192
0.010000,0.600000,0.301445
0.010000,0.700000,0.258082
0.010000,0.800000,0.189040
0.010000,0.900000,0.100038
0.010000,1.000000,0.008436
0.015000,0.000000,0.011957
0.015000,0.100000,0.100892
0.015000,0.200000,0.189995
0.015000,0.300000,0.258339
0.015000,0.400000,0.300846
0.015000,0.500000,0.315223
0.015000,0.600000,0.300846
0.015000,0.700000,0.258339
0.015000,0.800000,0.189995
0.015000,0.900000,0.100891
0.015000,1.000000,0.013152
0.020000,0.000000,0.016063
0.020000,0.100000,0.101756
0.020000,0.200000,0.190940
0.020000,0.300000,0.258583
0.020000,0.400000,0.300274
0.020000,0.500000,0.314309
0.020000,0.600000,0.300274
0.020000,0.700000,0.258583
0.020000,0.800000,0.190940
0.020000,0.900000,0.101755
0.020000,1.000000,0.017668
0.025000,0.000000,0.019997
0.025000,0.100000,0.102631
0.025000,0.200000,0.191874
0.025000,0.300000,0.258815
0.025000,0.400000,0.299731
0.025000,0.500000,0.313447
0.025000,0.600000,0.299731
0.025000,0.700000,0.258815
0.025000,0.800000,0.191874
0.025000,0.900000,0.102630
0.025000,1.000000,0.021995
0.030000,0.000000,0.023769
0.030000,0.100000,0.103518
0.030000,0.200000,0.192797
0.030000,0.300000,0.259038
0.030000,0.400000,0.299215
0.030000,0.500000,0.312634
0.030000,0.600000,0.299215
0.030000,0.700000,0.259038
0.030000,0.800000,0.192797
0.030000,0.900000,0.103516
0.030000,1.000000,0.026143
0.035000,0.000000,0.027387
0.035000,0.100000,0.104417
0.035000,0.200000,0.193710
0.035000,0.300000,0.259254
0.035000,0.400000,0.298728
0.035000,0.500000,0.311868
0.035000,0.600000,0.298728
0.035000,0.700000,0.259254
0.035000,0.800000,0.193710
0.035000,0.900000,0.104414
0.035000,1.000000,0.030123
0.040000,0.000000,0.030859
0.040000,0.100000,0.105328
0.040000,0.200000,0.194611
0.040000,0.300000,0.259464
0.040000,0.400000,0.298267
0.040000,0.500000,0.311147
0.040000,0.600000,0.298267
0.040000,0.700000,0.259464
0.040000,0.800000,0.194611
0.040000,0.900000,0.105324
0.040000,1.000000,0.033942
0.045000,0.000000,0.034194
0.045000,0.100000,0.106251
0.045000,0.200000,0.195502
0.045000,0.300000,0.259670
0.045000,0.400000,0.297833
0.045000,0.500000,0.310467
0.045000,0.600000,0.297833
0.045000,0.700000,0.259670
0.045000,0.800000,0.195502
0.045000,0.900000,0.106248
0.045000,1.000000,0.037610
0.050000,0.000000,0.037398
0.050000,0.100000,0.107187
0.050000,0.200000,0.196382
0.050000,0.300000,0.259873
0.050000,0.400000,0.297425
0.050000,0.500000,0.309829
0.050000,0.600000,0.297425
0.050000,0.700000,0.259873
0.050000,0.800000,0.196382
0.050000,0.900000,0.107185
0.050000,1.000000,0.041135
0.055000,0.000000,0.040478
0.055000,0.100000,0.108136
0.055000,0.200000,0.197252
0.055000,0.300000,0.260074
0.055000,0.400000,0.297044
0.055000,0.500000,0.309229
0.055000,0.600000,0.297044
0.055000,0.700000,0.260074
0.055000,0.800000,0.197252
0.055000,0.900000,0.108135
0.055000,1.000000,0.044525
0.060000,0.000000,0.043442
0.060000,0.100000,0.109098
